Fecha,Dia,Llamadas,DiaNormal,LlamadasNormal
01/01/20,1,584,0.01721420632104,0.944983818770226
02/01/20,2,236,0.0344284126420799,0.381877022653722
03/01/20,3,288,0.0516426189631199,0.466019417475728
04/01/20,4,324,0.0688568252841598,0.524271844660194
05/01/20,5,365,0.0860710316051998,0.590614886731392
06/01/20,6,224,0.10328523792624,0.362459546925566
07/01/20,7,250,0.12049944424728,0.40453074433657
08/01/20,8,257,0.13771365056832,0.415857605177994
09/01/20,9,296,0.15492785688936,0.478964401294498
10/01/20,10,315,0.1721420632104,0.509708737864078
11/01/20,11,467,0.18935626953144,0.755663430420712
12/01/20,12,441,0.20657047585248,0.713592233009709
13/01/20,13,324,0.22378468217352,0.524271844660194
14/01/20,14,338,0.240998888494559,0.546925566343042
15/01/20,15,329,0.258213094815599,0.532362459546926
16/01/20,16,348,0.275427301136639,0.563106796116505
17/01/20,17,374,0.292641507457679,0.605177993527508
18/01/20,18,461,0.309855713778719,0.745954692556634
19/01/20,19,386,0.327069920099759,0.624595469255663
20/01/20,20,279,0.344284126420799,0.451456310679612
21/01/20,21,272,0.361498332741839,0.440129449838188
22/01/20,22,344,0.378712539062879,0.55663430420712
23/01/20,23,306,0.395926745383919,0.495145631067961
24/01/20,24,349,0.413140951704959,0.564724919093851
25/01/20,25,504,0.430355158025999,0.815533980582524
26/01/20,26,533,0.447569364347039,0.862459546925566
27/01/20,27,345,0.464783570668079,0.558252427184466
28/01/20,28,290,0.481997776989119,0.469255663430421
29/01/20,29,355,0.499211983310159,0.574433656957929
30/01/20,30,337,0.516426189631199,0.545307443365696
31/01/20,31,461,0.533640395952239,0.745954692556634
01/02/20,32,549,0.550854602273279,0.888349514563107
02/02/20,33,499,0.568068808594319,0.807443365695793
03/02/20,34,366,0.585283014915359,0.592233009708738
04/02/20,35,297,0.602497221236399,0.480582524271845
05/02/20,36,327,0.619711427557439,0.529126213592233
06/02/20,37,387,0.636925633878479,0.62621359223301
07/02/20,38,420,0.654139840199519,0.679611650485437
08/02/20,39,526,0.671354046520559,0.851132686084142
09/02/20,40,552,0.688568252841599,0.893203883495146
10/02/20,41,446,0.705782459162638,0.72168284789644
11/02/20,42,397,0.722996665483678,0.642394822006472
12/02/20,43,365,0.740210871804718,0.590614886731392
13/02/20,44,432,0.757425078125758,0.699029126213592
14/02/20,45,436,0.774639284446798,0.705501618122977
15/02/20,46,618,0.791853490767838,1
16/02/20,47,575,0.809067697088878,1
17/02/20,48,435,0.826281903409918,0.801104972375691
18/02/20,49,386,0.843496109730958,0.710865561694291
19/02/20,50,327,0.860710316051998,0.602209944751381
20/02/20,51,324,0.877924522373038,0.596685082872928
21/02/20,52,448,0.895138728694078,0.825046040515654
22/02/20,53,420,0.912352935015118,0.773480662983425
23/02/20,54,526,0.929567141336158,0.968692449355433
24/02/20,55,328,0.946781347657198,0.604051565377532
25/02/20,56,310,0.963995553978238,0.570902394106814
26/02/20,57,367,0.981209760299278,0.675874769797422
27/02/20,58,342,0.998423966620318,0.629834254143646
28/02/20,59,381,1.01563817294136,0.701657458563536
29/02/20,60,434,1.0328523792624,0.79926335174954
01/03/20,61,493,1.05006658558344,0.907918968692449
02/03/20,62,363,1.06728079190448,0.668508287292818
03/03/20,63,308,1.08449499822552,0.567219152854512
04/03/20,64,336,1.10170920454656,0.61878453038674
05/03/20,65,343,1.1189234108676,0.631675874769798
06/03/20,66,369,1.13613761718864,0.679558011049724
07/03/20,67,409,1.15335182350968,0.753222836095764
08/03/20,68,472,1.17056602983072,0.869244935543278
09/03/20,69,324,1.18778023615176,0.596685082872928
10/03/20,70,301,1.2049944424728,0.554327808471455
11/03/20,71,331,1.22220864879384,0.609576427255985
12/03/20,72,348,1.23942285511488,0.640883977900552
13/03/20,73,439,1.25663706143592,0.808471454880295
14/03/20,74,543,1.27385126775696,1
15/03/20,75,475,1.291065474078,0.931372549019608
16/03/20,76,333,1.30827968039904,0.652941176470588
17/03/20,77,317,1.32549388672008,0.62156862745098
18/03/20,78,341,1.34270809304112,0.668627450980392
19/03/20,79,319,1.35992229936216,0.625490196078431
20/03/20,80,392,1.3771365056832,0.768627450980392
21/03/20,81,444,1.39435071200424,0.870588235294118
22/03/20,82,465,1.41156491832528,0.911764705882353
23/03/20,83,308,1.42877912464632,0.603921568627451
24/03/20,84,310,1.44599333096736,0.607843137254902
25/03/20,85,257,1.4632075372884,0.503921568627451
26/03/20,86,336,1.48042174360944,0.658823529411765
27/03/20,87,381,1.49763594993048,0.747058823529412
28/03/20,88,430,1.51485015625152,0.843137254901961
29/03/20,89,443,1.53206436257256,0.868627450980392
30/03/20,90,357,1.5492785688936,0.7
31/03/20,91,295,1.56649277521464,0.57843137254902
01/04/20,92,239,1.58370698153568,0.468627450980392
02/04/20,93,284,1.60092118785672,0.556862745098039
03/04/20,94,290,1.61813539417776,0.568627450980392
04/04/20,95,401,1.6353496004988,0.786274509803922
05/04/20,96,422,1.65256380681984,0.827450980392157
06/04/20,97,290,1.66977801314088,0.568627450980392
07/04/20,98,256,1.68699221946192,0.501960784313726
08/04/20,99,247,1.70420642578296,0.484313725490196
09/04/20,100,256,1.721420632104,0.501960784313726
10/04/20,101,227,1.73863483842504,0.445098039215686
11/04/20,102,251,1.75584904474608,0.492156862745098
12/04/20,103,287,1.77306325106712,0.562745098039216
13/04/20,104,246,1.79027745738816,0.482352941176471
14/04/20,105,231,1.8074916637092,0.452941176470588
15/04/20,106,248,1.82470587003024,0.486274509803922
16/04/20,107,234,1.84192007635128,0.458823529411765
